"","onset","terminus","from","to","weight"
"396",7,8,6,11,1.51096580051924
"397",1,2,7,1,17.7647861274338
"398",2,3,7,1,27.043387939
"399",3,4,7,1,99.201080142
"400",4,5,7,1,29.842980117
"401",5,6,7,1,123.181095966769
"402",6,7,7,1,64.2510666936118
"403",7,8,7,1,19.714004674653
"404",1,2,7,2,5.74588480242659
"405",2,3,7,2,1.869785097
"406",3,4,7,2,16.805708002
"407",4,5,7,2,3.537768912
"408",5,6,7,2,61.593400894148
"409",6,7,7,2,29.5025064380127
"410",7,8,7,2,7.31830556911915
"411",1,2,7,3,9.71100933879495
"412",2,3,7,3,6.817808007
"413",3,4,7,3,11.800496263
"414",4,5,7,3,5.55585301
"415",5,6,7,3,33.443048295823
"416",6,7,7,3,66.6823412827146
"417",7,8,7,3,6.74241278918721
"418",1,2,7,4,2.67687204061812
"419",2,3,7,4,6.326006932
"420",3,4,7,4,3.406168324
"421",4,5,7,4,7.547392586
"422",5,6,7,4,17.3636115217595
"423",6,7,7,4,7.31419854286492
"424",7,8,7,4,5.89711914477595
"425",1,2,7,5,1.15827592087389
"426",2,3,7,5,1.218773819
"427",3,4,7,5,1.764938207
"428",4,5,7,5,5.679762416
"429",5,6,7,5,11.4262408214842
"430",6,7,7,5,2.43070837526727
"431",7,8,7,5,1.5046884147242
"432",1,2,7,6,2.51070250558185
"433",2,3,7,6,3.174285355
"434",3,4,7,6,6.610489912
"435",4,5,7,6,13.423978078
"436",5,6,7,6,7.87823074234238
"437",6,7,7,6,6.75026799306589
"438",7,8,7,6,7.30775875543135
"439",1,2,7,7,411.542014955761
"440",2,3,7,7,334.09165634
"441",3,4,7,7,437.95176769
"442",4,5,7,7,596.638138853
"443",5,6,7,7,1385.63344016732
"444",6,7,7,7,701.524980099376
"445",7,8,7,7,370.663542151124
"446",1,2,7,8,4.21214947087149
"447",2,3,7,8,8.025456805
"448",3,4,7,8,11.114538875
"449",4,5,7,8,9.110281985
"450",5,6,7,8,22.7148289165816
"451",6,7,7,8,14.8672208480543
"452",7,8,7,8,4.8612561122987
"453",2,3,7,9,8.003074507
"454",3,4,7,9,1.955701725
"455",4,5,7,9,9.35598864
"456",5,6,7,9,2.96439462972814
"457",6,7,7,9,2.41645518929221
"458",7,8,7,9,3.121246869222
"461",4,5,7,10,1.521768122
"462",5,6,7,10,18.6664710359716
"463",6,7,7,10,18.4468710432634
"464",7,8,7,10,5.026093005025
"466",4,5,7,11,3.591190926
"467",5,6,7,11,46.4150276399958
"468",6,7,7,11,9.55575377929671
"469",7,8,7,11,3.86661516008376
"470",1,2,8,1,21.2976428048407
"471",2,3,8,1,29.321390568
"472",3,4,8,1,60.194024921
"473",4,5,8,1,45.391724077
"474",5,6,8,1,62.3702018284955
"475",6,7,8,1,43.4749764095839
"476",7,8,8,1,23.9163146696073
"477",1,2,8,2,2.39973124150932
"478",3,4,8,2,1.724010541
"479",4,5,8,2,1.361855622
"480",1,2,8,3,1.3676037993676
"481",2,3,8,3,1.451383224
"482",3,4,8,3,1.204253541
"483",4,5,8,3,0.706201764
"484",5,6,8,3,8.88925457831875
"485",6,7,8,3,4.0042244447494
"486",7,8,8,3,1.67045828262687
"487",2,3,8,4,0.276694984
"488",5,6,8,4,0.755633030666606
"489",1,2,8,5,7.36805100038052
"490",2,3,8,5,6.607616194
"491",3,4,8,5,16.499516425
"492",4,5,8,5,49.111525531
"493",5,6,8,5,41.2031109149599
"494",6,7,8,5,20.1727022079486
"495",7,8,8,5,6.1739476218918
"496",1,2,8,6,16.6450982251284
"497",2,3,8,6,21.661736719
"498",3,4,8,6,39.165816621
"499",4,5,8,6,30.956111843
"500",5,6,8,6,16.2785210658208
"501",6,7,8,6,15.6163502660113
"502",7,8,8,6,9.56597128144622
"503",1,2,8,7,2.23857600683122
"504",2,3,8,7,8.04083021
"505",3,4,8,7,5.2487541
"506",4,5,8,7,15.851897875
"507",5,6,8,7,44.3687469335466
"508",6,7,8,7,7.14442177753799
"509",7,8,8,7,8.8749261823242
"510",1,2,8,8,329.653964607897
"511",2,3,8,8,271.96131944
"512",3,4,8,8,335.204505682
"513",4,5,8,8,327.442104007
"514",5,6,8,8,688.072481815654
"515",6,7,8,8,363.788347608164
